Weeks,ART,ID,level,time,group,loglevel,censor,RhmAbs,N803
8,1,RAn22,59,7,1,1.77085,1,0,0
10,1,RAn22,59,9,1,1.77085,1,0,0
12,1,RAn22,59,11,1,1.77085,1,0,0
14,1,RAn22,59,13,1,1.77085,1,0,0
16,1,RAn22,59,15,1,1.77085,1,0,0
18,1,RAn22,59,17,1,1.77085,1,0,0
20,1,RAn22,59,19,1,1.77085,1,0,0
22,1,RAn22,59,21,1,1.77085,1,0,0
24,1,RAn22,59,23,1,1.77085,1,0,0
26,1,RAn22,59,25,1,1.77085,1,0,0
28,1,RAn22,59,27,1,1.77085,1,0,0
30,1,RAn22,59,29,1,1.77085,1,0,0
32,1,RAn22,59,31,1,1.77085,1,0,0
34,1,RAn22,59,33,1,1.77085,1,0,0
37,1,RAn22,59,36,1,1.77085,1,0,0
39,1,RAn22,59,38,1,1.77085,1,0,0
41,1,RAn22,59,40,1,1.77085,1,0,0
43,1,RAn22,59,42,1,1.77085,1,0,0
44,1,RAn22,59,43,1,1.77085,1,0,0
48,1,RAn22,59,47,1,1.77085,1,0,0
3,1,RBm22,59,2,1,1.77085,1,0,0
5,1,RBm22,59,4,1,1.77085,1,0,0
8,1,RBm22,59,7,1,1.77085,1,0,0
10,1,RBm22,59,9,1,1.77085,1,0,0
12,1,RBm22,59,11,1,1.77085,1,0,0
14,1,RBm22,59,13,1,1.77085,1,0,0
16,1,RBm22,59,15,1,1.77085,1,0,0
18,1,RBm22,59,17,1,1.77085,1,0,0
20,1,RBm22,59,19,1,1.77085,1,0,0
22,1,RBm22,59,21,1,1.77085,1,0,0
24,1,RBm22,59,23,1,1.77085,1,0,0
26,1,RBm22,59,25,1,1.77085,1,0,0
28,1,RBm22,59,27,1,1.77085,1,0,0
30,1,RBm22,59,29,1,1.77085,1,0,0
32,1,RBm22,59,31,1,1.77085,1,0,0
34,1,RBm22,59,33,1,1.77085,1,0,0
37,1,RBm22,59,36,1,1.77085,1,0,0
39,1,RBm22,59,38,1,1.77085,1,0,0
41,1,RBm22,59,40,1,1.77085,1,0,0
43,1,RBm22,59,42,1,1.77085,1,0,0
44,1,RBm22,59,43,1,1.77085,1,0,0
48,1,RBm22,59,47,1,1.77085,1,0,0
5,1,RDm22,59,4,1,1.77085,1,0,0
7,1,RDm22,59,6,1,1.77085,1,0,0
10,1,RDm22,59,9,1,1.77085,1,0,0
14,1,RDm22,59,13,1,1.77085,1,0,0
16,1,RDm22,59,15,1,1.77085,1,0,0
18,1,RDm22,59,17,1,1.77085,1,0,0
20,1,RDm22,59,19,1,1.77085,1,0,0
22,1,RDm22,59,21,1,1.77085,1,0,0
24,1,RDm22,59,23,1,1.77085,1,0,0
26,1,RDm22,59,25,1,1.77085,1,0,0
28,1,RDm22,59,27,1,1.77085,1,0,0
30,1,RDm22,59,29,1,1.77085,1,0,0
32,1,RDm22,59,31,1,1.77085,1,0,0
34,1,RDm22,59,33,1,1.77085,1,0,0
37,1,RDm22,59,36,1,1.77085,1,0,0
39,1,RDm22,59,38,1,1.77085,1,0,0
41,1,RDm22,59,40,1,1.77085,1,0,0
43,1,RDm22,59,42,1,1.77085,1,0,0
44,1,RDm22,59,43,1,1.77085,1,0,0
48,1,RDm22,59,47,1,1.77085,1,0,0
7,1,RGn22,59,6,1,1.77085,1,0,0
8,1,RGn22,59,7,1,1.77085,1,0,0
10,1,RGn22,59,9,1,1.77085,1,0,0
12,1,RGn22,59,11,1,1.77085,1,0,0
14,1,RGn22,59,13,1,1.77085,1,0,0
16,1,RGn22,59,15,1,1.77085,1,0,0
18,1,RGn22,59,17,1,1.77085,1,0,0
20,1,RGn22,59,19,1,1.77085,1,0,0
22,1,RGn22,59,21,1,1.77085,1,0,0
24,1,RGn22,59,23,1,1.77085,1,0,0
26,1,RGn22,59,25,1,1.77085,1,0,0
28,1,RGn22,59,27,1,1.77085,1,0,0
30,1,RGn22,59,29,1,1.77085,1,0,0
32,1,RGn22,59,31,1,1.77085,1,0,0
34,1,RGn22,59,33,1,1.77085,1,0,0
37,1,RGn22,59,36,1,1.77085,1,0,0
39,1,RGn22,59,38,1,1.77085,1,0,0
41,1,RGn22,59,40,1,1.77085,1,0,0
43,1,RGn22,59,42,1,1.77085,1,0,0
44,1,RGn22,59,43,1,1.77085,1,0,0
48,1,RGn22,59,47,1,1.77085,1,0,0
2,1,RKr22,59,1,1,1.77085,1,0,0
3,1,RKr22,59,2,1,1.77085,1,0,0
5,1,RKr22,59,4,1,1.77085,1,0,0
7,1,RKr22,59,6,1,1.77085,1,0,0
8,1,RKr22,59,7,1,1.77085,1,0,0
10,1,RKr22,59,9,1,1.77085,1,0,0
12,1,RKr22,59,11,1,1.77085,1,0,0
14,1,RKr22,59,13,1,1.77085,1,0,0
16,1,RKr22,59,15,1,1.77085,1,0,0
18,1,RKr22,59,17,1,1.77085,1,0,0
20,1,RKr22,59,19,1,1.77085,1,0,0
